#model_version:v2026.06.15,score_date:2026-08-25T12:03:58Z
cve,epss,percentile,change_type
CVE-1999-1452,0.05721,0.92455,updated
CVE-1999-1455,0.03935,0.89581,updated
CVE-1999-1456,0.01711,0.75607,updated
CVE-1999-1458,0.00543,0.43195,updated
CVE-1999-1459,0.00348,0.2746,updated
CVE-1999-1462,0.02179,0.80976,updated
CVE-1999-1463,0.16315,0.96708,updated
CVE-1999-1464,0.01639,0.74526,updated
CVE-1999-1465,0.01639,0.74527,updated
CVE-1999-1467,0.10226,0.9531,updated
CVE-1999-1468,0.00341,0.2663,updated
CVE-1999-1470,0.00329,0.2521,updated
CVE-1999-1472,0.17186,0.96852,updated
CVE-1999-1473,0.07431,0.93972,updated
CVE-1999-1474,0.09367,0.95006,updated
CVE-1999-1475,0.04472,0.90715,updated
CVE-1999-1476,0.00288,0.20778,updated
CVE-1999-1482,0.00464,0.38168,updated
CVE-1999-1486,0.00306,0.22715,updated
CVE-1999-1491,0.01923,0.78367,updated
CVE-1999-1494,0.00959,0.58852,updated
CVE-1999-1495,0.00486,0.39634,updated
CVE-1999-1496,0.00515,0.41505,updated
CVE-1999-1506,0.02604,0.84191,updated
CVE-1999-1511,0.02166,0.80868,updated
CVE-1999-1512,0.05046,0.9165,updated
CVE-1999-1513,0.01154,0.64578,updated
CVE-1999-1516,0.01912,0.78233,updated
CVE-1999-1517,0.00478,0.39123,updated
CVE-1999-1522,0.01074,0.62407,updated
CVE-1999-1525,0.0116,0.64737,updated
CVE-1999-1528,0.0033,0.25322,updated
CVE-1999-1535,0.03743,0.89015,updated
CVE-1999-1538,0.25457,0.97785,updated
CVE-1999-1539,0.11855,0.95769,updated
CVE-1999-1541,0.00396,0.32492,updated
CVE-1999-1542,0.03382,0.8787,updated
CVE-1999-1545,0.00323,0.24601,updated
CVE-1999-1546,0.01106,0.63307,updated
CVE-1999-1549,0.00578,0.45023,updated
CVE-1999-1552,0.00352,0.27819,updated
CVE-1999-1554,0.00421,0.34908,updated
CVE-1999-1556,0.01718,0.75694,updated
CVE-1999-1559,0.01666,0.74929,updated
CVE-1999-1560,0.00392,0.31993,updated
CVE-1999-1561,0.00348,0.2738,updated
